milestone_id,project_id,milestone_name,milestone_type,planned_date,actual_date,status,completion_percentage,budget_allocated,budget_spent,responsible_person,created_date,updated_date
MLS024,PRJ005,วางฐานราก - โครงการโรงเรียน ขยาย 5,วางฐานราก,2024-12-18,2024-12-27,เลื่อนออกไป,69,8120000,6577200,ประเสริฐ แก้วมี,2023-04-30,2024-04-01
MLS025,PRJ006,วางฐานราก - โครงการลานจอดรถ ใหม่ 6,วางฐานราก,2026-10-14,2026-11-07,กำลังดำเนินการ,39,17920000,20608000,ธนา เจริญสุข,2023-03-15,2024-12-20
MLS026,PRJ006,ทดสอบระบบ - โครงการลานจอดรถ ใหม่ 6,ทดสอบระบบ,2026-12-07,,กำลังดำเนินการ,83,15680000,13641600,ธนา เจริญสุข,2023-03-15,2024-12-20
MLS027,PRJ006,งานตกแต่ง - โครงการลานจอดรถ ใหม่ 6,งานตกแต่ง,2025-05-25,2025-06-19,ยังไม่เริ่ม,23,30240000,36288000,ธนา เจริญสุข,2023-03-15,2024-12-20
MLS028,PRJ006,โครงสร้างหลัก - โครงการลานจอดรถ ใหม่ 6,โครงสร้างหลัก,2025-05-13,,เลื่อนออกไป,52,22400000,25984000,ธนา เจริญสุข,2023-03-15,2024-12-20
MLS029,PRJ006,โครงสร้างหลัก - โครงการลานจอดรถ ใหม่ 6,โครงสร้างหลัก,2026-03-13,,เสร็จสิ้น,19,33600000,39984000,ธนา เจริญสุข,2023-03-15,2024-12-20
MLS030,PRJ007,เริ่มโครงการ - โครงการโรงเรียน ขยาย 7,เริ่มโครงการ,2024-04-05,2024-05-04,ยกเลิก,72,102950000,79271500,ราชันย์ สุขศรี,2023-01-17,2024-07-08
MLS031,PRJ007,งานตกแต่ง - โครงการโรงเรียน ขยาย 7,งานตกแต่ง,2024-05-26,2024-05-30,ยังไม่เริ่ม,88,35500000,29110000,ราชันย์ สุขศรี,2023-01-17,2024-07-08
MLS032,PRJ007,ส่งมอบงาน - โครงการโรงเรียน ขยาย 7,ส่งมอบงาน,2024-09-29,2024-10-27,เสร็จสิ้น,23,88750000,93187500,ราชันย์ สุขศรี,2023-01-17,2024-07-08
MLS033,PRJ007,ส่งมอบงาน - โครงการโรงเรียน ขยาย 7,ส่งมอบงาน,2024-08-14,2024-08-12,กำลังดำเนินการ,4,53250000,38340000,ราชันย์ สุขศรี,2023-01-17,2024-07-08
MLS034,PRJ007,งานระบบ - โครงการโรงเรียน ขยาย 7,งานระบบ,2025-02-23,,เลื่อนออกไป,28,63900000,76680000,ราชันย์ สุขศรี,2023-01-17,2024-07-08
MLS035,PRJ008,ส่งมอบงาน - โครงการโรงงาน ใหม่ 8,ส่งมอบงาน,2025-09-12,2025-09-30,เสร็จสิ้น,58,98600000,89726000,พจน์ สมบูรณ์,2024-04-14,2024-08-26
MLS036,PRJ008,วางฐานราก - โครงการโรงงาน ใหม่ 8,วางฐานราก,2026-12-13,2026-12-05,เลื่อนออกไป,92,98600000,105502000,พจน์ สมบูรณ์,2024-04-14,2024-08-26
MLS037,PRJ008,โครงสร้างหลัก - โครงการโรงงาน ใหม่ 8,โครงสร้างหลัก,2026-10-06,,ยกเลิก,67,95200000,93296000,พจน์ สมบูรณ์,2024-04-14,2024-08-26
MLS038,PRJ008,ทดสอบระบบ - โครงการโรงงาน ใหม่ 8,ทดสอบระบบ,2024-10-07,2024-10-25,ยังไม่เริ่ม,31,81600000,91392000,พจน์ สมบูรณ์,2024-04-14,2024-08-26
MLS039,PRJ008,งานตกแต่ง - โครงการโรงงาน ใหม่ 8,งานตกแต่ง,2026-10-09,,เลื่อนออกไป,66,37400000,35530000,พจน์ สมบูรณ์,2024-04-14,2024-08-26
MLS040,PRJ009,วางฐานราก - โครงการห้างสรรพสินค้า แห่งที่ 9,วางฐานราก,2024-11-30,2024-12-09,กำลังดำเนินการ,54,88160000,78462400,ประเสริฐ แก้วมี,2023-05-22,2024-11-11
MLS041,PRJ009,โครงสร้างหลัก - โครงการห้างสรรพสินค้า แห่งที่ 9,โครงสร้างหลัก,2025-05-13,,กำลังดำเนินการ,59,120640000,141148800,ประเสริฐ แก้วมี,2023-05-22,2024-11-11
MLS042,PRJ009,ส่งมอบงาน - โครงการห้างสรรพสินค้า แห่งที่ 9,ส่งมอบงาน,2025-05-30,2025-06-21,ยกเลิก,89,60320000,42827200,ประเสริฐ แก้วมี,2023-05-22,2024-11-11
MLS043,PRJ009,งานตกแต่ง - โครงการห้างสรรพสินค้า แห่งที่ 9,งานตกแต่ง,2024-09-11,2024-09-21,กำลังดำเนินการ,58,111360000,67929600,ประเสริฐ แก้วมี,2023-05-22,2024-11-11
MLS044,PRJ010,งานระบบ - โครงการโรงงาน แห่งที่ 10,งานระบบ,2024-10-14,2024-10-14,ยังไม่เริ่ม,90,40300000,26195000,วิชัย รุ่งเรือง,2024-04-24,2024-11-26
MLS045,PRJ010,งานระบบ - โครงการโรงงาน แห่งที่ 10,งานระบบ,2026-04-24,2026-05-17,ยกเลิก,78,68200000,72292000,วิชัย รุ่งเรือง,2024-04-24,2024-11-26
MLS046,PRJ010,วางฐานราก - โครงการโรงงาน แห่งที่ 10,วางฐานราก,2025-08-05,2025-07-28,เสร็จสิ้น,72,46500000,54870000,วิชัย รุ่งเรือง,2024-04-24,2024-11-26
MLS047,PRJ010,ส่งมอบงาน - โครงการโรงงาน แห่งที่ 10,ส่งมอบงาน,2026-05-20,,กำลังดำเนินการ,22,46500000,53475000,วิชัย รุ่งเรือง,2024-04-24,2024-11-26
MLS048,PRJ010,ส่งมอบงาน - โครงการโรงงาน แห่งที่ 10,ส่งมอบงาน,2026-07-13,2026-07-22,เลื่อนออกไป,36,58900000,62434000,วิชัย รุ่งเรือง,2024-04-24,2024-11-26
MLS049,PRJ011,เริ่มโครงการ - โครงการลานจอดรถ ใหม่ 11,เริ่มโครงการ,2024-08-02,,เสร็จสิ้น,1,15500000,15345000,วิชัย รุ่งเรือง,2023-01-02,2024-08-02
MLS050,PRJ011,งานระบบ - โครงการลานจอดรถ ใหม่ 11,งานระบบ,2025-08-12,,ยังไม่เริ่ม,77,41850000,46453500,วิชัย รุ่งเรือง,2023-01-02,2024-08-02
MLS051,PRJ011,งานระบบ - โครงการลานจอดรถ ใหม่ 11,งานระบบ,2024-11-19,2024-12-09,เลื่อนออกไป,10,37200000,31992000,วิชัย รุ่งเรือง,2023-01-02,2024-08-02
MLS052,PRJ011,งานตกแต่ง - โครงการลานจอดรถ ใหม่ 11,งานตกแต่ง,2025-11-25,2025-12-20,ยกเลิก,26,27900000,27621000,วิชัย รุ่งเรือง,2023-01-02,2024-08-02
MLS053,PRJ011,เริ่มโครงการ - โครงการลานจอดรถ ใหม่ 11,เริ่มโครงการ,2024-09-26,2024-10-08,ยังไม่เริ่ม,85,17050000,11764500,วิชัย รุ่งเรือง,2023-01-02,2024-08-02
MLS054,PRJ012,โครงสร้างหลัก - โครงการอาคารสำนักงาน ขยาย 12,โครงสร้างหลัก,2024-06-20,2024-07-06,เสร็จสิ้น,78,12450000,8715000,วิภา สุขสม,2024-02-03,2024-12-19
MLS055,PRJ012,ทดสอบระบบ - โครงการอาคารสำนักงาน ขยาย 12,ทดสอบระบบ,2026-03-01,,ยกเลิก,22,23240000,25564000,วิภา สุขสม,2024-02-03,2024-12-19
MLS056,PRJ012,งานระบบ - โครงการอาคารสำนักงาน ขยาย 12,งานระบบ,2025-11-05,2025-10-28,เสร็จสิ้น,41,9960000,10856400,วิภา สุขสม,2024-02-03,2024-12-19
MLS057,PRJ012,โครงสร้างหลัก - โครงการอาคารสำนักงาน ขยาย 12,โครงสร้างหลัก,2025-04-15,,ยกเลิก,8,19090000,21571700,วิภา สุขสม,2024-02-03,2024-12-19
MLS058,PRJ012,โครงสร้างหลัก - โครงการอาคารสำนักงาน ขยาย 12,โครงสร้างหลัก,2025-07-18,2025-07-25,เลื่อนออกไป,67,16600000,15438000,วิภา สุขสม,2024-02-03,2024-12-19
MLS059,PRJ012,วางฐานราก - โครงการอาคารสำนักงาน ขยาย 12,วางฐานราก,2026-03-05,2026-02-26,ยกเลิก,11,10790000,10358400,วิภา สุขสม,2024-02-03,2024-12-19
MLS060,PRJ013,ทดสอบระบบ - โครงการอาคารที่พักอาศัย ใหม่ 13,ทดสอบระบบ,2025-03-13,2025-03-23,ยกเลิก,79,22860000,21259800,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS061,PRJ013,โครงสร้างหลัก - โครงการอาคารที่พักอาศัย ใหม่ 13,โครงสร้างหลัก,2024-12-22,,เลื่อนออกไป,63,31750000,29527500,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS062,PRJ013,ส่งมอบงาน - โครงการอาคารที่พักอาศัย ใหม่ 13,ส่งมอบงาน,2025-01-17,,เสร็จสิ้น,24,21590000,22669500,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS063,PRJ013,เริ่มโครงการ - โครงการอาคารที่พักอาศัย ใหม่ 13,เริ่มโครงการ,2024-12-16,2025-01-15,กำลังดำเนินการ,78,16510000,17665700,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS064,PRJ013,งานระบบ - โครงการอาคารที่พักอาศัย ใหม่ 13,งานระบบ,2025-05-16,2025-05-28,กำลังดำเนินการ,1,34290000,38061900,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS065,PRJ013,ทดสอบระบบ - โครงการอาคารที่พักอาศัย ใหม่ 13,ทดสอบระบบ,2025-01-28,,ยังไม่เริ่ม,39,22860000,25146000,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS066,PRJ013,โครงสร้างหลัก - โครงการอาคารที่พักอาศัย ใหม่ 13,โครงสร้างหลัก,2025-07-03,2025-06-23,เสร็จสิ้น,43,16510000,17005300,พจน์ สมบูรณ์,2023-03-29,2024-12-18
MLS067,PRJ014,ทดสอบระบบ - โครงการโรงงาน ปรับปรุง 14,ทดสอบระบบ,2025-11-21,,กำลังดำเนินการ,24,27500000,31075000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS068,PRJ014,โครงสร้างหลัก - โครงการโรงงาน ปรับปรุง 14,โครงสร้างหลัก,2025-03-30,,เลื่อนออกไป,4,68750000,81125000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS069,PRJ014,ทดสอบระบบ - โครงการโรงงาน ปรับปรุง 14,ทดสอบระบบ,2024-09-04,2024-10-04,ยกเลิก,42,66000000,77220000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS070,PRJ014,งานระบบ - โครงการโรงงาน ปรับปรุง 14,งานระบบ,2025-06-15,,ยกเลิก,38,30250000,34182500,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS071,PRJ014,งานตกแต่ง - โครงการโรงงาน ปรับปรุง 14,งานตกแต่ง,2026-03-13,2026-04-06,ยกเลิก,87,27500000,20075000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS072,PRJ014,โครงสร้างหลัก - โครงการโรงงาน ปรับปรุง 14,โครงสร้างหลัก,2025-04-15,2025-04-14,ยังไม่เริ่ม,43,49500000,55935000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS073,PRJ014,งานระบบ - โครงการโรงงาน ปรับปรุง 14,งานระบบ,2026-01-19,2026-01-19,เลื่อนออกไป,23,77000000,75460000,พจน์ สมบูรณ์,2024-01-22,2024-07-29
MLS074,PRJ015,ส่งมอบงาน - โครงการสะพาน แห่งที่ 15,ส่งมอบงาน,2025-01-08,,ยังไม่เริ่ม,34,26200000,27510000,สุมาลี ทองดี,2023-08-24,2024-11-19
MLS075,PRJ015,งานระบบ - โครงการสะพาน แห่งที่ 15,งานระบบ,2024-07-14,2024-07-19,เสร็จสิ้น,27,27510000,24208800,สุมาลี ทองดี,2023-08-24,2024-11-19
MLS076,PRJ015,งานตกแต่ง - โครงการสะพาน แห่งที่ 15,งานตกแต่ง,2024-09-07,2024-09-20,กำลังดำเนินการ,11,14410000,15706900,สุมาลี ทองดี,2023-08-24,2024-11-19
MLS077,PRJ015,งานระบบ - โครงการสะพาน แห่งที่ 15,งานระบบ,2024-10-29,2024-11-18,กำลังดำเนินการ,43,34060000,23501400,สุมาลี ทองดี,2023-08-24,2024-11-19
MLS078,PRJ016,ทดสอบระบบ - โครงการห้างสรรพสินค้า ใหม่ 16,ทดสอบระบบ,2025-06-15,2025-06-25,ยังไม่เริ่ม,66,62300000,67907000,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS079,PRJ016,ทดสอบระบบ - โครงการห้างสรรพสินค้า ใหม่ 16,ทดสอบระบบ,2024-11-26,2024-11-18,ยกเลิก,14,106800000,89712000,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS080,PRJ016,เริ่มโครงการ - โครงการห้างสรรพสินค้า ใหม่ 16,เริ่มโครงการ,2025-02-26,,ยังไม่เริ่ม,42,129050000,148407500,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS081,PRJ016,งานระบบ - โครงการห้างสรรพสินค้า ใหม่ 16,งานระบบ,2024-10-13,2024-10-22,เสร็จสิ้น,81,44500000,42720000,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS082,PRJ016,วางฐานราก - โครงการห้างสรรพสินค้า ใหม่ 16,วางฐานราก,2025-03-03,2025-03-11,เสร็จสิ้น,98,80100000,75294000,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS083,PRJ016,งานระบบ - โครงการห้างสรรพสินค้า ใหม่ 16,งานระบบ,2025-08-29,2025-08-28,ยังไม่เริ่ม,1,66750000,51397500,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS084,PRJ016,งานตกแต่ง - โครงการห้างสรรพสินค้า ใหม่ 16,งานตกแต่ง,2025-07-03,2025-07-06,ยกเลิก,40,120150000,98523000,ราชันย์ สุขศรี,2023-10-13,2024-12-14
MLS085,PRJ017,วางฐานราก - โครงการโรงเรียน ขยาย 17,วางฐานราก,2025-07-22,,กำลังดำเนินการ,9,36120000,27090000,นิภา สว่างใส,2023-04-07,2024-08-20
MLS086,PRJ017,โครงสร้างหลัก - โครงการโรงเรียน ขยาย 17,โครงสร้างหลัก,2025-06-05,,ยังไม่เริ่ม,16,34830000,30650400,นิภา สว่างใส,2023-04-07,2024-08-20
MLS087,PRJ017,เริ่มโครงการ - โครงการโรงเรียน ขยาย 17,เริ่มโครงการ,2025-03-25,,เลื่อนออกไป,6,14190000,9365400,นิภา สว่างใส,2023-04-07,2024-08-20
MLS088,PRJ017,เริ่มโครงการ - โครงการโรงเรียน ขยาย 17,เริ่มโครงการ,2025-03-02,2025-03-30,เลื่อนออกไป,78,36120000,36120000,นิภา สว่างใส,2023-04-07,2024-08-20
MLS089,PRJ017,โครงสร้างหลัก - โครงการโรงเรียน ขยาย 17,โครงสร้างหลัก,2025-01-02,2025-01-04,เลื่อนออกไป,72,34830000,22639500,นิภา สว่างใส,2023-04-07,2024-08-20
MLS090,PRJ017,วางฐานราก - โครงการโรงเรียน ขยาย 17,วางฐานราก,2024-09-12,,เลื่อนออกไป,39,30960000,20433600,นิภา สว่างใส,2023-04-07,2024-08-20
MLS091,PRJ018,งานระบบ - โครงการสะพาน ใหม่ 18,งานระบบ,2025-02-14,,ยกเลิก,33,5040000,5796000,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS092,PRJ018,โครงสร้างหลัก - โครงการสะพาน ใหม่ 18,โครงสร้างหลัก,2025-07-28,2025-08-08,เลื่อนออกไป,3,7200000,6408000,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS093,PRJ018,เริ่มโครงการ - โครงการสะพาน ใหม่ 18,เริ่มโครงการ,2025-10-21,2025-11-10,กำลังดำเนินการ,36,8640000,9849600,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS094,PRJ018,ส่งมอบงาน - โครงการสะพาน ใหม่ 18,ส่งมอบงาน,2025-06-13,,ยังไม่เริ่ม,51,5040000,4636800,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS095,PRJ018,ส่งมอบงาน - โครงการสะพาน ใหม่ 18,ส่งมอบงาน,2026-06-23,,ยังไม่เริ่ม,38,7200000,6840000,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS096,PRJ018,งานตกแต่ง - โครงการสะพาน ใหม่ 18,งานตกแต่ง,2025-10-07,2025-10-23,กำลังดำเนินการ,70,6120000,6058800,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS097,PRJ018,วางฐานราก - โครงการสะพาน ใหม่ 18,วางฐานราก,2027-03-16,2027-03-10,ยกเลิก,55,7200000,5256000,ประเสริฐ แก้วมี,2023-04-22,2024-08-24
MLS098,PRJ019,งานตกแต่ง - โครงการห้างสรรพสินค้า แห่งที่ 19,งานตกแต่ง,2026-04-07,2026-04-12,ยังไม่เริ่ม,94,22050000,22491000,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS099,PRJ019,ทดสอบระบบ - โครงการห้างสรรพสินค้า แห่งที่ 19,ทดสอบระบบ,2027-01-28,2027-02-25,ยกเลิก,12,35280000,28224000,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS100,PRJ019,ส่งมอบงาน - โครงการห้างสรรพสินค้า แห่งที่ 19,ส่งมอบงาน,2026-11-04,2026-11-19,ยังไม่เริ่ม,87,17640000,17287200,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS101,PRJ019,ส่งมอบงาน - โครงการห้างสรรพสินค้า แห่งที่ 19,ส่งมอบงาน,2026-06-22,2026-06-15,กำลังดำเนินการ,74,17640000,12877200,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS102,PRJ019,ส่งมอบงาน - โครงการห้างสรรพสินค้า แห่งที่ 19,ส่งมอบงาน,2024-05-07,,ยกเลิก,37,20580000,18110400,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS103,PRJ019,งานระบบ - โครงการห้างสรรพสินค้า แห่งที่ 19,งานระบบ,2026-11-08,2026-11-18,เสร็จสิ้น,55,27930000,26812800,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS104,PRJ019,ทดสอบระบบ - โครงการห้างสรรพสินค้า แห่งที่ 19,ทดสอบระบบ,2026-04-12,,ยกเลิก,65,41160000,24696000,สมชาย วงศ์ใหญ่,2024-04-17,2024-05-26
MLS105,PRJ020,ส่งมอบงาน - โครงการโรงเรียน แห่งที่ 20,ส่งมอบงาน,2025-01-13,,ยกเลิก,6,9900000,8217000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS106,PRJ020,เริ่มโครงการ - โครงการโรงเรียน แห่งที่ 20,เริ่มโครงการ,2026-04-01,,เสร็จสิ้น,3,18900000,12663000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS107,PRJ020,วางฐานราก - โครงการโรงเรียน แห่งที่ 20,วางฐานราก,2025-11-21,,เสร็จสิ้น,91,19800000,19800000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS108,PRJ020,งานระบบ - โครงการโรงเรียน แห่งที่ 20,งานระบบ,2025-10-25,2025-11-18,กำลังดำเนินการ,60,14400000,14688000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS109,PRJ020,วางฐานราก - โครงการโรงเรียน แห่งที่ 20,วางฐานราก,2025-03-16,2025-03-29,เสร็จสิ้น,85,20700000,14283000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS110,PRJ020,วางฐานราก - โครงการโรงเรียน แห่งที่ 20,วางฐานราก,2025-01-20,2025-01-11,เลื่อนออกไป,84,12600000,13356000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS111,PRJ020,งานระบบ - โครงการโรงเรียน แห่งที่ 20,งานระบบ,2025-01-22,2025-02-07,ยกเลิก,54,21600000,25272000,สมชาย วงศ์ใหญ่,2023-08-07,2024-12-24
MLS112,PRJ021,งานระบบ - โครงการสะพาน ขยาย 21,งานระบบ,2025-10-29,2025-11-16,กำลังดำเนินการ,23,105380000,86411600,ราชันย์ สุขศรี,2024-05-13,2024-07-04
MLS113,PRJ021,งานระบบ - โครงการสะพาน ขยาย 21,งานระบบ,2024-06-02,2024-06-07,เลื่อนออกไป,69,124540000,95895800,ราชันย์ สุขศรี,2024-05-13,2024-07-04
MLS114,PRJ021,งานตกแต่ง - โครงการสะพาน ขยาย 21,งานตกแต่ง,2025-06-05,2025-05-28,เสร็จสิ้น,14,134120000,120708000,ราชันย์ สุขศรี,2024-05-13,2024-07-04
MLS115,PRJ021,งานตกแต่ง - โครงการสะพาน ขยาย 21,งานตกแต่ง,2025-10-01,,ยกเลิก,96,57480000,39661200,ราชันย์ สุขศรี,2024-05-13,2024-07-04
MLS116,PRJ021,ส่งมอบงาน - โครงการสะพาน ขยาย 21,ส่งมอบงาน,2025-03-08,2025-03-03,ยกเลิก,11,124540000,144466400,ราชันย์ สุขศรี,2024-05-13,2024-07-04
MLS117,PRJ022,งานระบบ - โครงการลานจอดรถ ใหม่ 22,งานระบบ,2025-11-01,,ยกเลิก,74,46440000,47833200,วิภา สุขสม,2023-09-02,2024-10-09
MLS118,PRJ022,โครงสร้างหลัก - โครงการลานจอดรถ ใหม่ 22,โครงสร้างหลัก,2025-10-14,2025-10-25,ยังไม่เริ่ม,60,104490000,113894100,วิภา สุขสม,2023-09-02,2024-10-09
MLS119,PRJ022,งานระบบ - โครงการลานจอดรถ ใหม่ 22,งานระบบ,2025-07-03,,เสร็จสิ้น,53,108360000,114861600,วิภา สุขสม,2023-09-02,2024-10-09
MLS120,PRJ022,โครงสร้างหลัก - โครงการลานจอดรถ ใหม่ 22,โครงสร้างหลัก,2024-11-22,2024-11-14,เสร็จสิ้น,93,112230000,120086100,วิภา สุขสม,2023-09-02,2024-10-09
MLS121,PRJ022,ส่งมอบงาน - โครงการลานจอดรถ ใหม่ 22,ส่งมอบงาน,2025-08-25,2025-09-24,กำลังดำเนินการ,73,96750000,93847500,วิภา สุขสม,2023-09-02,2024-10-09
MLS122,PRJ023,ทดสอบระบบ - โครงการสนามกีฬา ใหม่ 23,ทดสอบระบบ,2025-02-22,,เสร็จสิ้น,62,89610000,54662100,สมชาย วงศ์ใหญ่,2023-03-03,2024-12-27
